filename,wp_media_url,asset_type,page/section,persona,description,usage_notes
Molosoc-Product-Standing-Compress.png,https://staging.molosoc.com/wp-content/uploads/2026/07/Molosoc-Product-Standing-Compress.png,isolated-product-cutout,"Product page / Hero, or any section needing a flexible product graphic",—,"Single Molosoc cover, standing alone, no lifestyle scene around it - a clean product cutout rather than a photographed environment.","FLEXIBLE ASSET - not a fixed scene. Because it's isolated (plain/transparent background, no props), it can be resized up or down without breaking composition, layered next to or behind text, dropped into hero banners, used in interactive/animated components, or placed in a UI card without visual clutter competing with the copy. Treat this differently from the lifestyle photos below - those are meant to be shown as-is, this one is meant to be a building block."
homepage_01_bathmat.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/homepage_01_bathmat.jpg,lifestyle-scene,"Homepage / Hero — SUPERSEDED 2026-07-24, see homepage_04_bedroom_blanket-scaled.jpg",—,Bare feet resting on a soft bathmat in a sunlit bathroom.,Fixed scene - full environment/composition already baked in. Use as-is; not meant for overlay compositing. Kept for reference; replaced as the live homepage hero during the premium Scandinavian art-direction pass.
homepage_02_cream_massage.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/homepage_02_cream_massage.jpg,lifestyle-scene,"Homepage / Brand pillars — SUPERSEDED 2026-07-24, see hero_collection_02_cream-scaled.jpg",—,Close-up of hands massaging cream into a heel. Warmer lighting/different shoot than the homepage hero set.,Fixed scene - kept for reference; no longer used on the homepage as of 2026-07-24 (color cast didn't match the hero photoshoot even after grading).
homepage_03_bathroom_shelf.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/homepage_03_bathroom_shelf.jpg,lifestyle-scene,"Homepage / Brand pillars — SUPERSEDED 2026-07-24, see homepage_03_livingroom_footrest-scaled.jpg",—,Bathroom shelf with a few skincare bottles, lived-in feel.,Fixed scene - kept for reference; no longer used on the homepage as of 2026-07-24.
homepage_04_couch_evening.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/homepage_04_couch_evening.jpg,lifestyle-scene,"Homepage / Brand pillars — SUPERSEDED 2026-07-24, see homepage_01_bathroom_bench-scaled.jpg",—,Feet up on a couch under a blanket, evening wind-down mood.,Fixed scene - kept for reference; no longer used on the homepage as of 2026-07-24. Near-duplicate concept to lifestyle_sofa_feet (social-only asset).
category_01_drawers.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/category_01_drawers.jpg,lifestyle-scene,Category page / Disposable vs reusable,—,Two contrasting drawers - messy single-use sachets vs. tidy reusable item.,Fixed scene - use as-is; core visual for the reusable-vs-disposable argument.
category_02_washing.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/category_02_washing.jpg,lifestyle-scene,Category page / Cream-agnostic,—,Hands washing a soft reusable item in a sink.,Fixed scene - use as-is.
category_03_flatlay.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/category_03_flatlay.jpg,flatlay,Category page / Mechanism,—,Overhead flat-lay of a minimal skincare routine.,Fixed scene - use as-is. This is the flatlay actually chosen for the live category page (other flatlay variants are social-only).
pillar1_01_heels_floor.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/pillar1_01_heels_floor.jpg,lifestyle-scene,"Multi-use: Pillar 1 Cracked Heels / Hero + Pillar 4 Dry Skin / Go deeper (""Dry feet vs. cracked heels"" thumbnail)",Persona 2,Close-up of bare heels on a wooden floor.,"Fixed scene - use as-is. ASSIGNED 2026-07-31 as the 3rd Pillar 4 Go-deeper thumbnail, visually tying that card to the Cracked Heels guide it cross-links to."
pillar1_02_bed_checking.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/pillar1_02_bed_checking.jpg,lifestyle-scene,Pillar 1 Cracked Heels / What causes it,Persona 2,Person checking their heel, seated on edge of bed.,Fixed scene - use as-is.
