id,filename,source_url,media_type,mime_type,alt_text,date
977,3d_turntable_01_mirror.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/3d_turntable_01_mirror.jpg,image,image/jpeg,"CGI product render: foot cover in three-quarter front angle, pre-mirrored (toe pointing left, M logo on the right), on a round turntable pedestal, plain white backdrop",2026-07-29T17:03:22
976,molosoc_cream_drawers.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_cream_drawers.jpg,image,image/jpeg,"An open wooden bathroom drawer crowded with half-used cream tubes and torn sachet packets, marble countertop above, sunlit window alongside",2026-07-29T16:48:34
975,molosoc_pedicure_relaxing.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_pedicure_relaxing.jpg,image,image/jpeg,"Woman in cream loungewear relaxing on a daybed, smiling down at her bare feet resting on a folded blanket, cup of tea on a wooden table, bright sheer-curtained room",2026-07-29T16:34:39
974,molosoc_disposable_mask_editorial.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_disposable_mask_editorial.jpg,image,image/jpeg,"A foot inside a clear single-use plastic sock mask, cream visibly pooled inside, stepping onto a wool rug in front of a wooden stool with a folded towel",2026-07-29T16:34:35
969,molosoc_ritual_platform_bed_blanket-scaled-1.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_platform_bed_blanket-scaled-1.jpg,image,image/jpeg,Duplicate re-upload of molosoc_ritual_platform_bed_blanket-scaled.jpg (id 918) — bare feet peeking out from under a blanket on a low wooden platform bed by a window,2026-07-28T09:53:18
968,molosoc_ritual_hallway_walk-scaled-1.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_hallway_walk-scaled-1.jpg,image,image/jpeg,Duplicate re-upload of molosoc_ritual_hallway_walk-scaled.jpg (id 909) — bare legs walking barefoot down a sunlit minimalist hallway,2026-07-28T09:53:09
967,homepage-results-full.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/homepage-results-full.jpg,image,image/jpeg,"Real 3-month before/after result, no filters — full unedited comparison",2026-07-28T09:53:05
966,homepage-bathroom-bench-graded.png,https://staging.molosoc.com/wp-content/uploads/2026/07/homepage-bathroom-bench-graded.png,image,image/png,"A sunlit minimalist bathroom hallway with sheer curtains, wood beams, and bare feet resting on a linen bench",2026-07-28T09:52:44
964,homepage-bedside-rug-cropped.png,https://staging.molosoc.com/wp-content/uploads/2026/07/homepage-bedside-rug-cropped.png,image,image/png,Bare feet stepping onto a soft cream wool rug beside the bed,2026-07-28T09:51:19
963,homepage-pillar5-drawer-graded.png,https://staging.molosoc.com/wp-content/uploads/2026/07/homepage-pillar5-drawer-graded.png,image,image/png,A half-open bathroom drawer crowded with half-used cream tubes and bottles,2026-07-28T09:50:59
962,homepage-livingroom-graded.png,https://staging.molosoc.com/wp-content/uploads/2026/07/homepage-livingroom-graded.png,image,image/png,Bare feet up on a wooden side table in a calm minimalist living room,2026-07-28T09:50:42
961,homepage-cream-collection-cropped.png,https://staging.molosoc.com/wp-content/uploads/2026/07/homepage-cream-collection-cropped.png,image,image/png,"Close-up of hands massaging cream into a heel, bright white bedroom",2026-07-28T09:50:28
960,homepage-hero-preview-graded.png,https://staging.molosoc.com/wp-content/uploads/2026/07/homepage-hero-preview-graded.png,image,image/png,"Bare feet peeking out from under a clean white blanket in a bright, airy bedroom",2026-07-28T09:50:07
928,3d_turntable_02_side.png,https://staging.molosoc.com/wp-content/uploads/2026/07/3d_turntable_02_side.png,image,image/png,"CGI product render: full side-profile view on a round turntable pedestal, plain white backdrop",2026-07-26T09:10:53
927,3d_turntable_03_back.png,https://staging.molosoc.com/wp-content/uploads/2026/07/3d_turntable_03_back.png,image,image/png,"CGI product render: straight-on heel/back view on a round turntable pedestal, plain white backdrop",2026-07-26T09:10:18
926,3d_turntable_04_topdown.png,https://staging.molosoc.com/wp-content/uploads/2026/07/3d_turntable_04_topdown.png,image,image/png,"CGI product render: top-down view on a round turntable pedestal, plain white backdrop — opening shows size-mark lettering inside",2026-07-26T09:09:33
925,3d_turntable_05_sole.png,https://staging.molosoc.com/wp-content/uploads/2026/07/3d_turntable_05_sole.png,image,image/png,"CGI product render: sole tilted toward camera showing the full grip-dot texture, on a round turntable pedestal, plain white backdrop",2026-07-26T09:09:04
924,3d_render_05_sole.png,https://staging.molosoc.com/wp-content/uploads/2026/07/3d_render_05_sole.png,image,image/png,"CGI product render: sole tilted toward camera showing the full grip-dot texture, dark gradient studio backdrop",2026-07-26T09:08:29
923,3d_render_01_front.png,https://staging.molosoc.com/wp-content/uploads/2026/07/3d_render_01_front.png,image,image/png,"CGI product render: front three-quarter view resting on a dark studio floor, gradient backdrop",2026-07-26T09:07:46
922,3d_render_02_back.png,https://staging.molosoc.com/wp-content/uploads/2026/07/3d_render_02_back.png,image,image/png,CGI product render: straight-on heel/back view against a dark gradient studio backdrop,2026-07-26T09:07:06
921,3d_render_03_top.png,https://staging.molosoc.com/wp-content/uploads/2026/07/3d_render_03_top.png,image,image/png,CGI product render: top-down view on a dark reflective surface with diagonal light streaks,2026-07-26T09:06:20
920,3d_render_04_threequarter.png,https://staging.molosoc.com/wp-content/uploads/2026/07/3d_render_04_threequarter.png,image,image/png,CGI product render: foot cover three-quarter front angle floating over a dark gradient studio backdrop,2026-07-26T09:05:41
919,3d_turntable_01_front.png,https://staging.molosoc.com/wp-content/uploads/2026/07/3d_turntable_01_front.png,image,image/png,"CGI product render: foot cover tilted three-quarter front angle on a round turntable pedestal, plain white backdrop — embossed ""M"" logo and sole grip dots visible",2026-07-26T09:05:10
918,molosoc_ritual_platform_bed_blanket-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_platform_bed_blanket-scaled.jpg,image,image/jpeg,Bare feet peeking out from under a blanket on a low wooden platform bed by a window,2026-07-25T06:52:50
917,molosoc_ritual_bath_stool_towels-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_bath_stool_towels-scaled.jpg,image,image/jpeg,"Three-panel bathroom scene with a wooden stool, folded towels, and bare feet beside a freestanding tub",2026-07-25T06:52:41
916,molosoc_ritual_daybed_lounge-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_daybed_lounge-scaled.jpg,image,image/jpeg,"Bare feet up on a wooden daybed, reading by sheer curtains",2026-07-25T06:52:32
915,molosoc_ritual_ankle_cream_closeup-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_ankle_cream_closeup-scaled.jpg,image,image/jpeg,Close-up of hands massaging cream into an ankle on white linen,2026-07-25T06:52:23
914,molosoc_ritual_bedside_rug-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_bedside_rug-scaled.jpg,image,image/jpeg,Bare feet stepping onto a soft wool rug beside the bed,2026-07-25T06:52:12
913,molosoc_ritual_morning_kitchen-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_morning_kitchen-scaled.jpg,image,image/jpeg,Barefoot in a minimalist kitchen during a morning pour-over coffee ritual,2026-07-25T06:52:04
912,molosoc_ritual_reading_nook-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_reading_nook-scaled.jpg,image,image/jpeg,Bare feet crossed on the floor beside a leather reading chair by a window,2026-07-25T06:51:55
911,molosoc_ritual_livingroom_rest-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_livingroom_rest-scaled.jpg,image,image/jpeg,Bare feet resting on a sofa in a bright minimalist living room,2026-07-25T06:51:46
910,molosoc_ritual_vanity_cream-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_vanity_cream-scaled.jpg,image,image/jpeg,Person applying cream to bare legs and feet at a bathroom vanity bench,2026-07-25T06:51:36
909,molosoc_ritual_hallway_walk-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_hallway_walk-scaled.jpg,image,image/jpeg,Bare legs walking barefoot down a sunlit minimalist hallway,2026-07-25T06:51:27
908,hero_collection_03_relaxing-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/hero_collection_03_relaxing-scaled.jpg,image,image/jpeg,"Bare feet in cream linen trousers resting on a woven wool rug beside an oak-framed sofa, bright minimalist living room with a dried-flower arrangement in the background",2026-07-24T21:28:56
907,hero_collection_02_cream-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/hero_collection_02_cream-scaled.jpg,image,image/jpeg,Hands massaging cream into a foot on white linen in a bright bedroom,2026-07-24T21:28:47
906,hero_collection_05_wellness-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/hero_collection_05_wellness-scaled.jpg,image,image/jpeg,"Still-life bathroom shelf scene by a window: small white ceramic bowl and a draped white linen cloth on a pale stone counter, floating oak drawer below, blurred garden visible outside — no feet in frame",2026-07-24T21:28:38
905,Molosoc-Real-3-months-results-1.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/Molosoc-Real-3-months-results-1.jpg,image,image/jpeg,"Real 3-month before/after result, no filters",2026-07-24T21:09:40
904,homepage_04_bedroom_blanket-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/homepage_04_bedroom_blanket-scaled.jpg,image,image/jpeg,Bare feet peeking out from under a cream blanket in a serene bedroom,2026-07-24T20:37:21
903,homepage_03_livingroom_footrest-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/homepage_03_livingroom_footrest-scaled.jpg,image,image/jpeg,Bare feet up on a wooden side table in a calm minimalist living room,2026-07-24T20:37:13
902,homepage_01_bathroom_bench-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/homepage_01_bathroom_bench-scaled.jpg,image,image/jpeg,Bare feet resting on a linen bench in a sunlit minimalist bathroom hallway,2026-07-24T20:37:04
901,Molosoc-Product-Standing-Compress.png,https://staging.molosoc.com/wp-content/uploads/2026/07/Molosoc-Product-Standing-Compress.png,image,image/png,"Product shot: white Molosoc silicone foot cover standing upright, side profile, on a plain white background — embossed ""M"" logo at the ankle and textured grip dots on the sole",2026-07-24T15:38:38
899,hero_pair_white_env.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/hero_pair_white_env.jpg,image,image/jpeg,,2026-07-24T14:54:10
